phone_id,brand,model,marketing_name,release_year,release_month,operating_system,os_version,5g_supported,screen_size_inches,screen_resolution,refresh_rate_hz,panel_type,processor_brand,processor_model,core_count,ram_gb,storage_gb,card_slot_available,main_camera_mp,num_rear_cameras,front_camera_mp,battery_capacity_mah,charging_speed_w,wireless_charging,weight_grams,thickness_mm,body_material,water_resistance_rating,original_price_usd,region_market,stock_availability,user_rating,review_count,discounted_price_usd
223639,Motorola,Model_116,Lite 123639,2024,4,Android,16,Yes,6.1,FHD+,90,Super AMOLED,,Gen_2,8,8,128,No,64,3,32,5500,100,No,173,8.5,Eco-Leather,None,885,Global,1063,4.8,15459,675.82
222457,Huawei,Model_792,Lite 122457,2025,10,Android,14,Yes,5.5,HD+,120,IPS LCD,MediaTek Dimensity,Gen_4,8,8,128,Yes,108,1,32,6000,45,Yes,181,9.3,Plastic,IP67,943,Global,2637,3.6,15108,796.83
191142,Realme,Model_823,Lite 91142,2025,12,Android,16,Yes,6.3,FHD+,90,AMOLED,MediaTek Dimensity,Gen_3,8,16,128,No,200,3,32,4500,100,No,183,7.1,Glass/Plastic,IP68,882,North America,2200,4.8,134,749.92
118985,Apple,Model_337,Pro Max 18985,2025,6,iOS,15,Yes,6.0,HD+,120,OLED,Apple A-Series,Gen_1,8,8,512,No,48,4,12,5500,18,Yes,177,8.5,Titanium,IP53,291,Asia,4102,4.0,23576,261.68
235033,Huawei,Model_698,Lite 135033,2023,6,Android,17,Yes,6.3,QHD+,120,Super AMOLED,Tensor,Gen_2,8,8,128,Yes,200,2,16,5500,45,No,212,8.1,Plastic,None,831,MEA,1615,4.6,24794,659.13
249014,OnePlus,Model_567,Lite 149014,2025,12,Android,17,Yes,6.8,FHD+,120,Super AMOLED,Helio,Gen_2,4,4,256,Yes,200,1,32,5000,45,No,236,7.8,Glass/Aluminum,IP53,560,Europe,4753,4.9,6761,530.24
136876,Vivo,Model_848,Ultra 36876,2025,5,Android,14,Yes,6.7,HD+,120,Super AMOLED,Helio,Gen_3,6,24,128,Yes,50,4,12,5000,100,No,209,8.7,Eco-Leather,None,1483,Asia,2461,3.6,1537,1376.52
246166,Apple,Model_120,Lite 146166,2023,3,iOS,16,No,6.8,4K,120,AMOLED,Exynos,Gen_2,8,6,512,Yes,50,2,12,4000,25,No,227,7.7,Glass/Plastic,,358,MEA,2785,4.8,14078,314.32
161553,Apple,Model_229,Lite 61553,2024,10,iOS,17,No,5.7,HD+,120,OLED,,Gen_2,8,12,512,No,64,3,32,6000,33,Yes,209,8.3,Glass/Plastic,IP53,1317,MEA,3903,3.6,15963,1112.52
228226,Oppo,Model_118,Ultra 128226,2024,12,Android,16,Yes,5.9,FHD+,120,IPS LCD,Tensor,Gen_1,6,8,128,No,108,1,12,4000,45,Yes,166,7.3,Glass/Aluminum,IP67,1402,Europe,3850,3.8,21707,1240.05
156379,Vivo,Model_735,Lite 56379,2025,3,Android,16,Yes,5.6,FHD+,60,AMOLED,Tensor,Gen_2,8,8,128,Yes,12,3,32,5000,120,No,226,7.4,Titanium,None,490,North America,3381,3.7,12521,409.87
